Code,Parent Code,Full Code,Meaning,User Sort Order,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder
,,,,,,,,,
AA06,,AA06,Animals and Animal Products (Import and Export) (England) Regulations 2006,,,,,,AA06
AA60,,AA60,Abandonment of Animals Act 1960,,,,,,AA60
AA97,,AA97,Animals & Animal Products (Examination for Residues & Maximum Residue Limits) Regulation 1997,,,,,,AA97
AB03,,AB03,Animal By-Products Regulations 2003,,,,,,AB03
AB05,,AB05,Animal By-Products Regulations 2005,,,,,,AB05
AB63,,AB63,Animal Boarding Establishments Act 1963,,,,,,AB63
AC02,,AC02,Adoption and Children Act 2002,,,,,,AC02
AC95,,AC95,Activity Centres (Young Persons Safety) Act 1995,,,,,,AC95
AD70,,AD70,Administration of Justice Act 1970,,,,,,AD70
AD76,,AD76,Adoption Act 1976,,,,,,AD76
AE71,,AE71,Attachment of Earnings Act 1971,,,,,,AE71
AF06,,AF06,Armed Forces Act 2006,,,,,,AF06
AG28,,AG28,Agricultural Credits Act 1928,,,,,,AG28
AG58,,AG58,Agricultural Marketing Act 1958,,,,,,AG58
AG67,,AG67,Agriculture Act 1967,,,,,,AG67
AG70,,AG70,Agriculture Act 1970,,,,,,AG70
AH64,,AH64,Agriculture and Horticulture Act 1964,,,,,,AH64
AI04,,AI04,"Asylum & Immigration (Treatment of Claimants, etc.) Act 2004",,,,,,AI04
AI55,,AI55,Air Force Act 1955,,,,,,AI55
AI86,,AI86,Airports Act 1986,,,,,,AI86
AI96,,AI96,Asylum and Immigration Act 1996,,,,,,AI96
AJ99,,AJ99,Access to Justice Act 1999,,,,,,AJ99
AL06,,AL06,Al-Qaida and Taliban (United Nations Measures) Order 2006,,,,,,AL06
AL19,,AL19,Aliens Restrictions (Amendment) Act1919,,,,,,AL19
AL22,,AL22,Allotments Act 1922,,,,,,AL22
AL79,,AL79,Alcoholic Liquor Duties Act 1979,,,,,,AL79
AM68,,AM68,Agriculture (Miscellaneous Provisions) Act 1968,,,,,,AM68
AN00,,AN00,Air Navigation Order 2000,,,,,,AN00
AN05,,AN05,Air Navigation Order 2005,,,,,,AN05
AN79,,AN79,Ancient Monuments and Archaeological Areas Act 1979,,,,,,AN79
AN81,,AN81,Animal Health Act 1981,,,,,,AN81
AN86,,AN86,Animals (Scientific Procedures Act) 1986,,,,,,AN86
AN95,,AN95,Air Navigation (No2) Order 1995,,,,,,AN95
AP03,,AP03,Products of Animal Origins (Third Country Imports)(E) Regs 2003,,,,,,AP03
AP04,,AP04,Animals and Animal Products (Import and Export) Regs 2004,,,,,,AP04
AP06,,AP06,Products of Animal Origins (Third Country Imports)(E) Regs 2006,,,,,,AP06
AP52,,AP52,Agricultural (Poisonous Substances) Act 1952,,,,,,AP52
AP62,,AP62,Animals (Cruel Poisons) Act 1962,,,,,,AP62
AR55,,AR55,Army Act 1955,,,,,,AR55
AS03,,AS03,Anti-social Behaviour Act 2003,,,,,,AS03
AT01,,AT01,"Anti-Terrorism, Crime & Security Act 2001",,,,,,AT01
AV82,,AV82,Aviation Security Act 1982,,,,,,AV82
AV90,,AV90,Aviation and Maritime Security Act 1990,,,,,,AV90
AW06,,AW06,Animal Welfare Act 2006,,,,,,AW06
BA07,,BA07,UK Borders Act 2007,,,,,,BA07
BA76,,BA76,Bail Act 1976,,,,,,BA76
BC90,,BC90,Broadcasting Act 1990,,,,,,BC90
BD53,,BD53,Births and Deaths Registration Act 1953,,,,,,BD53
BD73,,BD73,Breeding of Dogs 1973,,,,,,BD73
BD81,,BD81,Betting and Gaming Duties Act 1981,,,,,,BD81
BD91,,BD91,Breeding of Dogs Act 1991,,,,,,BD91
BE94,,BE94,Legislation Title Unknown,,,,,,BE94
BE99,,BE99,Bovine Spongiform Encephalopathy (Feeding Stuffs & Surveillance) Regulations 1999,,,,,,BE99
BG73,,BG73,Badgers Act 1973,,,,,,BG73
BG91,,BG91,Badgers (Further Protection) Act 1981,,,,,,BG91
BK14,,BK14,Bankruptcy Act 1914,,,,,,BK14
BK79,,BK79,Banking Act 1979,,,,,,BK79
BK87,,BK87,Banking Act 1987,,,,,,BK87
