Code,Parent Code,Full Code,Meaning,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder,,
,,,,,,,,,,
001,AA06,AA06001,Fail to wear protective clothing/footwear and meet other criteria when entering quarantine centre/facility,29/06/2006,,Section: 19(6) & 34(4),,AA060010,,
002,AA06,AA06002,Without authority of veterinary inspector remove live captive bird from quarantine centre/facility,29/06/2006,,Section: 19(7) & 34(4),,AA060020,,
003,AA06,AA06003,Without authority of veterinary inspector remove/dispose captive bird carcase which had died in quarantine,29/06/2006,,Section: 19(8) & 34(4),,AA060030,,
004,AA06,AA06004,Obstruct person acting in the execution of these Regulations,29/06/2006,,Section: 32(a) & 34(3),,AA060040,,
005,AA06,AA06005,Fail to give to person acting in execution of Reg’s assistance/information required for purposes of their functions,29/06/2006,,Section: 32(b) & 34(3),,AA060050,,
006,AA06,AA06006,Furnish to person acting in execution of these Reg’s false/misleading information,29/06/2006,,Section: 32(c) & 34(3),,AA060060,,
002,AA60,AA60002,Persons having charge abandoning animal,,05/04/2007,Section: 1,,AA600020,,
003,AA60,AA60003,Owner abandoning animal,,05/04/2007,Section: 1,,AA600030,,
004,AA60,AA60004,Person having charge procuring abandonment of animal,,01/01/1901,Section: 1,,AA600040,,
005,AA60,AA60005,Person having charge causing abandonment of animal,,01/01/1901,Section: 1,,AA600050,,
006,AA60,AA60006,Person having charge permitting abandonment of animal,,05/04/2007,Section: 1,,AA600060,,
007,AA60,AA60007,Owner procuring abandonment of animal,,01/01/1901,Section: 1,,AA600070,,
008,AA60,AA60008,Owner causing abandonment of animal,,01/01/1901,Section: 1,,AA600080,,
009,AA60,AA60009,Owner permitting abandonment of animal,,05/04/2007,Section: 1,,AA600090,,
010,AA60,AA60010,Person having charge cause/procure animal to be abandoned causing unnecessary suffering,,05/04/2007,Section: 1,,AA600100,,
011,AA60,AA60011,Owner cause/procure animal to be abandoned causing unnecessary suffering,,05/04/2007,Section: 1,,AA600110,,
001,AA97,AA97001,Sold for administration to an animal stilbene or thyrostatic substance or product containing that substance,11/08/1997,,Section: 3 & 23,,AA970010,,
002,AA97,AA97002,Possess a beta-agonist/hormonal substance without a s 8 Medicines Act 1968 licence,11/08/1997,,Section: 4(1) & 23,,AA970020,,
003,AA97,AA97003,Possess product containing beta-agonist/hormonal substance without a s 8 Medicines Act 1968 licence/authority,11/08/1997,,Section: 4(2) & 23,,AA970030,,
004,AA97,AA97004,Person other than a vet possess on a farm beta-agonist/product,11/08/1997,,Section: 4(3) & 23,,AA970040,,
005,AA97,AA97005,Administer/knowingly cause/permit to be administered to an animal any beta-agonist/ hormonal substance/product,11/08/1997,,Section: 5 & 23,,AA970050,,
006,AA97,AA97006,Administer/knowingly cause/permit to be administered to an animal an unlicensed substance/product,11/08/1997,,Section: 6(2) & 23,,AA970060,,
007,AA97,AA97007,Contravene prohibition in Council Reg’s Art 5 on the administration of Annex IV substances to food-producing animals,11/08/1997,,Section: 7 & 23,,AA970070,,
008,AA97,AA97008,Slaughter/possess on a farm an animal intended for use for human consumption containing beta-agonist/hormonal substance,11/08/1997,,Section: 8(1) & 23,,AA970080,,
009,AA97,AA97009,Possess meat of animal intended for use for human consumption containing beta-agonist/hormonal substance,11/08/1997,,Section: 8(2) & 23,,AA970090,,
010,AA97,AA97010,Sell/supply for slaughter for human consumption animal which contains unauthorised substance/product,11/08/1997,,Section: 9 & 23,,AA970100,,
